"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Kyle Schwarber","- - -","819","3248","199","471","444","22","13.1%","28.3%",".262",".268",".233",".339",".495",".352","","121","-1.3","80.1","-59.6","13.1","16478"
"Andrew Benintendi","- - -","745","3163","73","396","384","69","9.8%","18.1%",".152",".324",".279",".351",".431",".337","","109","9.2","44.2","-22.9","13.1","17901"
"Asdrubal Cabrera","- - -","859","3330","108","391","418","19","8.3%","19.1%",".176",".299",".264",".328",".439",".328","","105","-20.7","1.3","18.3","13.0","4962"
"Wil Myers","SDP","888","3415","134","435","433","94","9.9%","27.5%",".198",".321",".254",".330",".451",".334","","111","15.6","61.7","-46.0","12.9","10047"
"Mark Canha","- - -","785","3034","102","417","355","32","10.0%","21.3%",".178",".290",".248",".348",".426",".338","","118","2.6","70.5","-47.4","12.8","11445"
"Nick Ahmed","ARI","791","2878","67","321","301","36","6.9%","19.6%",".148",".275",".237",".292",".385",".290","","76","6.3","-80.6","115.0","12.8","12147"
"Bryan Reynolds","PIT","493","2014","74","274","239","16","9.8%","21.7%",".200",".334",".281",".361",".481",".359","","126","-0.1","65.6","-10.0","12.5","19326"
"Jose Iglesias","- - -","952","3578","43","391","335","53","4.3%","11.9%",".106",".308",".279",".318",".386",".305","","87","-4.9","-62.3","65.8","12.3","10231"
"Russell Martin","- - -","530","2008","72","253","231","8","12.6%","23.9%",".167",".266",".224",".336",".391",".321","","100","-11.8","-12.1","63.9","12.2","4616"
"Nick Castellanos","- - -","1063","4434","170","545","590","19","6.5%","23.0%",".207",".331",".279",".329",".486",".345","","115","-11.5","70.4","-101.8","12.1","11737"
"Harrison Bader","- - -","537","1764","52","229","177","57","7.8%","25.7%",".161",".308",".245",".317",".405",".311","","97","17.4","10.3","49.0","11.9","18030"
"Pete Alonso","NYM","530","2254","146","310","380","10","9.9%","22.1%",".274",".274",".261",".349",".535",".368","","138","-11.8","95.4","-50.0","11.9","19251"
"Francisco Cervelli","- - -","480","1833","31","193","183","11","11.2%","20.2%",".119",".325",".264",".362",".383",".330","","107","-7.0","7.1","49.1","11.9","5275"
"Aaron Hicks","- - -","720","2738","91","360","306","52","12.9%","20.5%",".165",".270",".237",".337",".402",".323","","104","14.4","27.2","-1.5","11.8","5297"
"Addison Russell","CHC","615","2212","60","256","253","17","8.4%","24.1%",".150",".299",".242",".312",".392",".304","","87","6.6","-28.9","74.3","11.8","14106"
"Bo Bichette","TOR","393","1727","69","262","239","46","5.8%","21.4%",".194",".347",".297",".340",".491",".355","","127","2.9","58.6","1.1","11.8","19612"
"Eddie Rosario","- - -","888","3512","138","469","474","53","5.0%","19.0%",".192",".299",".270",".305",".462",".323","","102","16.6","25.1","-30.6","11.8","12155"
"Mitch Haniger","- - -","564","2437","112","344","323","18","8.9%","23.9%",".215",".304",".261",".335",".476",".345","","122","-4.8","60.5","-26.7","11.8","14274"
"Rhys Hoskins","PHI","667","2877","148","392","405","15","13.5%","23.9%",".250",".273",".242",".353",".492",".360","","125","-3.9","87.3","-65.9","11.5","16472"
"Adam Frazier","- - -","821","3045","43","374","257","41","7.5%","12.7%",".119",".303",".273",".336",".392",".317","","99","3.2","-0.7","13.5","11.4","15223"
"Will Smith","LAD","358","1412","72","192","230","6","10.8%","19.2%",".240",".276",".261",".356",".501",".363","","132","-6.6","49.1","15.6","11.3","19197"
"Ryan Braun","MIL","687","2653","122","368","392","75","8.0%","19.1%",".222",".306",".279",".341",".501",".355","","120","-1.3","63.1","-38.0","11.3","3410"
"Adam Duvall","- - -","802","2963","160","374","473","18","6.8%","28.5%",".238",".269",".231",".291",".469",".320","","97","6.1","-5.0","21.8","11.3","10950"
"Brandon Lowe","TBR","395","1580","84","222","237","18","10.2%","27.7%",".246",".299",".249",".335",".495",".352","","129","15.4","72.3","-11.5","11.3","18882"
"Randal Grichuk","- - -","977","3674","172","460","504","25","5.5%","26.1%",".221",".292",".247",".294",".468",".322","","100","-3.0","-4.5","-7.9","11.2","10243"
"Enrique Hernandez","- - -","875","2861","94","371","318","13","9.3%","20.2%",".178",".271",".239",".314",".417",".314","","97","9.0","-2.6","19.4","11.2","10472"
"Starlin Castro","- - -","833","3393","87","359","384","19","5.1%","18.0%",".138",".315",".276",".314",".415",".311","","94","-9.8","-33.9","35.0","11.1","4579"
"Mike Moustakas","- - -","801","3198","151","370","436","11","7.8%","16.9%",".215",".263",".255",".320",".470",".334","","107","-18.1","8.3","-6.1","11.1","4892"
"Kyle Tucker","HOU","398","1548","73","212","256","53","9.0%","17.1%",".235",".282",".268",".335",".502",".354","","129","9.5","62.9","-6.0","11.1","18345"
"Justin Upton","- - -","811","3335","161","449","468","55","10.3%","28.3%",".217",".299",".244",".327",".461",".337","","112","8.0","58.1","-62.8","11.0","5222"
"Yoenis Cespedes","- - -","418","1731","94","242","266","13","7.2%","21.7%",".248",".313",".283",".339",".531",".364","","132","4.2","71.3","-21.0","11.0","13110"
"Jason Kipnis","- - -","699","2949","82","350","325","48","8.9%","19.2%",".169",".299",".259",".330",".429",".326","","102","11.3","15.9","-11.7","11.0","9776"
"Marwin Gonzalez","- - -","884","3131","95","344","366","33","7.1%","22.0%",".157",".301",".253",".315",".410",".313","","98","-7.9","-15.8","14.7","10.8","5497"
"Teoscar Hernandez","- - -","651","2531","133","352","380","35","7.4%","29.4%",".238",".326",".262",".319",".499",".347","","120","-1.0","59.0","-36.5","10.7","13066"
"Sean Murphy","OAK","330","1260","46","149","147","1","10.0%","23.1%",".193",".277",".236",".326",".429",".328","","116","-2.2","21.7","40.3","10.6","19352"
